Location,Day,Sale Hour,Sales
489,4/15/21,0,0.0
489,4/15/21,1,0.0
489,4/15/21,2,0.0
489,4/15/21,3,0.0
489,4/15/21,4,0.0
489,4/15/21,5,0.0
489,4/15/21,6,3218.0
489,4/15/21,7,19495.0
489,4/15/21,8,12958.0
489,4/15/21,9,16982.0
489,4/15/21,10,24869.0
489,4/15/21,11,21870.0
489,4/15/21,12,19412.0
489,4/15/21,13,31964.0
489,4/15/21,14,16998.0
489,4/15/21,15,24458.0
489,4/15/21,16,17819.0
489,4/15/21,17,17628.0
489,4/15/21,18,14322.0
489,4/15/21,19,11234.0
489,4/15/21,20,6432.0
489,4/15/21,21,366.0
489,4/15/21,22,0.0
489,4/15/21,23,0.0
489,4/16/21,0,0.0
489,4/16/21,1,88.0
489,4/16/21,2,0.0
489,4/16/21,3,7.0
489,4/16/21,4,0.0
489,4/16/21,5,45.0
489,4/16/21,6,3204.0
489,4/16/21,7,9570.0
489,4/16/21,8,16085.0
489,4/16/21,9,25731.0
489,4/16/21,10,19109.0
489,4/16/21,11,31707.0
489,4/16/21,12,28403.0
489,4/16/21,13,43134.0
489,4/16/21,14,29383.0
489,4/16/21,15,34306.0
489,4/16/21,16,24510.0
489,4/16/21,17,41804.0
489,4/16/21,18,13158.0
489,4/16/21,19,17491.0
489,4/16/21,20,13805.0
489,4/16/21,21,6663.0
489,4/16/21,22,330.0
489,4/16/21,23,0.0
489,4/17/21,0,0.0
489,4/17/21,1,120.0
489,4/17/21,2,0.0
489,4/17/21,3,0.0
489,4/17/21,4,0.0
489,4/17/21,5,3.0
489,4/17/21,6,7068.0
489,4/17/21,7,5347.0
489,4/17/21,8,16996.0
489,4/17/21,9,20022.0
489,4/17/21,10,35662.0
489,4/17/21,11,47756.0
489,4/17/21,12,39224.0
489,4/17/21,13,39280.0
489,4/17/21,14,43197.0
489,4/17/21,15,43481.0
489,4/17/21,16,27323.0
489,4/17/21,17,19200.0
489,4/17/21,18,17879.0
489,4/17/21,19,16197.0
489,4/17/21,20,7256.0
489,4/17/21,21,3308.0
489,4/17/21,22,67.0
489,4/17/21,23,15.0
489,4/18/21,0,0.0
489,4/18/21,1,0.0
489,4/18/21,2,0.0
489,4/18/21,3,0.0
489,4/18/21,4,0.0
489,4/18/21,5,7.0
489,4/18/21,6,0.0
489,4/18/21,7,448.0
489,4/18/21,8,16453.0
489,4/18/21,9,19049.0
489,4/18/21,10,28308.0
489,4/18/21,11,38112.0
489,4/18/21,12,27998.0
489,4/18/21,13,46736.0
489,4/18/21,14,48221.0
489,4/18/21,15,36792.0
489,4/18/21,16,27831.0
489,4/18/21,17,22660.0
489,4/18/21,18,15238.0
489,4/18/21,19,7930.0
489,4/18/21,20,2674.0
489,4/18/21,21,0.0
489,4/18/21,22,2.0
489,4/18/21,23,0.0
489,4/19/21,0,0.0
489,4/19/21,1,0.0
489,4/19/21,2,0.0
489,4/19/21,3,3.0
489,4/19/21,4,0.0
489,4/19/21,5,9.0
489,4/19/21,6,1741.0
489,4/19/21,7,26567.0
489,4/19/21,8,14477.0
489,4/19/21,9,20367.0
489,4/19/21,10,23841.0
489,4/19/21,11,27441.0
489,4/19/21,12,22276.0
489,4/19/21,13,38238.0
489,4/19/21,14,26120.0
489,4/19/21,15,24118.0
489,4/19/21,16,24675.0
489,4/19/21,17,20256.0
489,4/19/21,18,9082.0
489,4/19/21,19,10714.0
489,4/19/21,20,5058.0
489,4/19/21,21,4083.0
489,4/19/21,22,431.0
489,4/19/21,23,0.0
489,4/20/21,0,0.0
489,4/20/21,1,54.0
489,4/20/21,2,0.0
489,4/20/21,3,0.0
489,4/20/21,4,0.0
489,4/20/21,5,0.0
489,4/20/21,6,6587.0
489,4/20/21,7,3655.0
489,4/20/21,8,12723.0
489,4/20/21,9,35149.0
489,4/20/21,10,36621.0
489,4/20/21,11,31336.0
489,4/20/21,12,29828.0
489,4/20/21,13,20810.0
489,4/20/21,14,20978.0
489,4/20/21,15,35077.0
489,4/20/21,16,25462.0
489,4/20/21,17,12234.0
489,4/20/21,18,14677.0
489,4/20/21,19,17346.0
489,4/20/21,20,7850.0
489,4/20/21,21,6871.0
489,4/20/21,22,0.0
489,4/20/21,23,0.0
489,4/21/21,0,0.0
489,4/21/21,1,0.0
489,4/21/21,2,0.0
489,4/21/21,3,0.0
489,4/21/21,4,0.0
489,4/21/21,5,0.0
489,4/21/21,6,4036.0
489,4/21/21,7,6514.0
489,4/21/21,8,14790.0
489,4/21/21,9,14182.0
489,4/21/21,10,26593.0
489,4/21/21,11,45917.0
489,4/21/21,12,30034.0
489,4/21/21,13,27606.0
489,4/21/21,14,22616.0
489,4/21/21,15,27112.0
489,4/21/21,16,22856.0
489,4/21/21,17,11598.0
489,4/21/21,18,20229.0
489,4/21/21,19,17058.0
489,4/21/21,20,7106.0
489,4/21/21,21,1386.0
489,4/21/21,22,23.0
489,4/21/21,23,18.0
489,4/22/21,0,0.0
489,4/22/21,1,214.0
489,4/22/21,2,0.0
489,4/22/21,3,0.0
489,4/22/21,4,0.0
489,4/22/21,5,3.0
489,4/22/21,6,14178.0
489,4/22/21,7,8707.0
489,4/22/21,8,24587.0
489,4/22/21,9,13187.0
489,4/22/21,10,27030.0
489,4/22/21,11,24056.0
489,4/22/21,12,23181.0
489,4/22/21,13,32784.0
489,4/22/21,14,25768.0
489,4/22/21,15,13394.0
489,4/22/21,16,18542.0
489,4/22/21,17,32897.0
489,4/22/21,18,9731.0
489,4/22/21,19,7259.0
489,4/22/21,20,9406.0
489,4/22/21,21,400.0
489,4/22/21,22,665.0
489,4/22/21,23,0.0
489,4/23/21,0,0.0
489,4/23/21,1,9820.0
489,4/23/21,2,0.0
489,4/23/21,3,0.0
489,4/23/21,4,0.0
489,4/23/21,5,0.0
489,4/23/21,6,9009.0
489,4/23/21,7,6340.0
489,4/23/21,8,12748.0
489,4/23/21,9,24700.0
489,4/23/21,10,16405.0
489,4/23/21,11,20984.0
489,4/23/21,12,32442.0
489,4/23/21,13,32987.0
489,4/23/21,14,19044.0
489,4/23/21,15,16487.0
489,4/23/21,16,30322.0
489,4/23/21,17,9855.0
489,4/23/21,18,6895.0
489,4/23/21,19,10772.0
489,4/23/21,20,26905.0
489,4/23/21,21,1205.0
489,4/23/21,22,234.0
489,4/23/21,23,0.0
489,4/24/21,0,0.0
489,4/24/21,1,0.0
489,4/24/21,2,0.0
489,4/24/21,3,0.0
489,4/24/21,4,0.0
489,4/24/21,5,0.0
489,4/24/21,6,1800.0
489,4/24/21,7,3780.0
489,4/24/21,8,6211.0
489,4/24/21,9,21477.0
489,4/24/21,10,29975.0
489,4/24/21,11,69464.0
489,4/24/21,12,48200.0
489,4/24/21,13,23106.0
489,4/24/21,14,32062.0
489,4/24/21,15,28312.0
489,4/24/21,16,15156.0
489,4/24/21,17,8322.0
489,4/24/21,18,10254.0
