Location,Day,Sale Hour,Sales $
489,3/1/21,13,15276
489,3/1/21,14,14983
489,3/1/21,15,110351
489,3/1/21,16,10276
489,3/1/21,17,18943
489,3/1/21,18,8290
489,3/1/21,19,13166
489,3/1/21,20,4058
489,3/1/21,21,460
489,3/2/21,4,9
489,3/2/21,5,4
489,3/2/21,6,3202
489,3/2/21,7,7212
489,3/2/21,8,11161
489,3/2/21,9,9491
489,3/2/21,10,15384
489,3/2/21,11,15171
489,3/2/21,12,21364
489,3/2/21,13,24246
489,3/2/21,14,20692
489,3/2/21,15,31236
489,3/2/21,16,17145
489,3/2/21,17,9564
489,3/2/21,18,7805
489,3/2/21,19,8406
489,3/2/21,20,4005
489,3/3/21,1,106
489,3/3/21,2,18
489,3/3/21,4,12
489,3/3/21,5,0
489,3/3/21,6,22802
489,3/3/21,7,11292
489,3/3/21,8,8833
489,3/3/21,9,16852
489,3/3/21,10,21546
489,3/3/21,11,18152
489,3/3/21,12,18376
489,3/3/21,13,23048
489,3/3/21,14,15242
489,3/3/21,15,77666
489,3/3/21,16,34623
489,3/3/21,17,56894
489,3/3/21,18,25177
489,3/3/21,19,3172
489,3/3/21,20,3009
489,3/3/21,21,39
489,3/3/21,22,62
489,3/4/21,5,6
489,3/4/21,6,3193
489,3/4/21,7,7290
489,3/4/21,8,10402
489,3/4/21,9,44269
489,3/4/21,10,22820
489,3/4/21,11,20338
489,3/4/21,12,18492
489,3/4/21,13,15221
489,3/4/21,14,18666
489,3/4/21,15,19350
489,3/4/21,16,7675
489,3/4/21,17,15050
489,3/4/21,18,8469
489,3/4/21,19,23130
489,3/4/21,20,6307
489,3/4/21,21,1236
489,3/5/21,0,0
489,3/5/21,5,9
489,3/5/21,6,9890
489,3/5/21,7,5544
489,3/5/21,8,12482
489,3/5/21,9,12009
489,3/5/21,10,27378
489,3/5/21,11,29601
489,3/5/21,12,42888
489,3/5/21,13,50354
489,3/5/21,14,39257
489,3/5/21,15,33691
489,3/5/21,16,29045
489,3/5/21,17,12396
489,3/5/21,18,7487
489,3/5/21,19,8024
489,3/5/21,20,6410
489,3/5/21,21,553
489,3/5/21,22,5
489,3/6/21,5,9
489,3/6/21,6,1944
489,3/6/21,7,4712
489,3/6/21,8,8236
489,3/6/21,9,19125
489,3/6/21,10,65664
489,3/6/21,11,29085
489,3/6/21,12,44297
489,3/6/21,13,40701
489,3/6/21,14,51391
489,3/6/21,15,31972
489,3/6/21,16,30103
489,3/6/21,17,17136
489,3/6/21,18,16220
489,3/6/21,19,5626
489,3/6/21,20,3648
489,3/6/21,21,934
489,3/6/21,22,18
489,3/7/21,1,16
489,3/7/21,6,284
489,3/7/21,7,393
489,3/7/21,8,6138
489,3/7/21,9,12273
489,3/7/21,10,22332
489,3/7/21,11,25747
489,3/7/21,12,30662
489,3/7/21,13,33962
489,3/7/21,14,53042
489,3/7/21,15,22860
489,3/7/21,16,11944
489,3/7/21,17,14013
489,3/7/21,18,6386
489,3/7/21,19,4533
489,3/7/21,20,76
489,3/8/21,1,3
489,3/8/21,5,3
489,3/8/21,6,6518
489,3/8/21,7,5938
489,3/8/21,8,16915
489,3/8/21,9,28493
489,3/8/21,10,27909
489,3/8/21,11,13780
489,3/8/21,12,18297
489,3/8/21,13,24675
489,3/8/21,14,23089
489,3/8/21,15,23639
489,3/8/21,16,15050
489,3/8/21,17,12238
489,3/8/21,18,6272
489,3/8/21,19,5534
489,3/8/21,20,2399
489,3/8/21,21,549
489,3/8/21,22,22
489,3/9/21,1,19
489,3/9/21,5,1
489,3/9/21,6,8733
489,3/9/21,7,8298
489,3/9/21,8,17290
489,3/9/21,9,20865
489,3/9/21,10,24419
489,3/9/21,11,32567
489,3/9/21,12,25178
489,3/9/21,13,19984
489,3/9/21,14,28504
489,3/9/21,15,17444
489,3/9/21,16,12856
489,3/9/21,17,7164
489,3/9/21,18,5798
489,3/9/21,19,6121
489,3/9/21,20,2433
489,3/9/21,21,135
489,3/9/21,22,6
489,3/10/21,1,3
489,3/10/21,5,42
489,3/10/21,6,10345
489,3/10/21,7,9955
489,3/10/21,8,8529
489,3/10/21,9,20198
489,3/10/21,10,18580
489,3/10/21,11,23244
489,3/10/21,12,18789
489,3/10/21,13,18879
489,3/10/21,14,51301
489,3/10/21,15,18461
489,3/10/21,16,18359
489,3/10/21,17,11861
489,3/10/21,18,18025
489,3/10/21,19,27883
489,3/10/21,20,3632
489,3/10/21,21,1244
489,3/11/21,1,23
489,3/11/21,5,82
489,3/11/21,6,5812
489,3/11/21,7,10735
489,3/11/21,8,11763
489,3/11/21,9,19489
489,3/11/21,10,22823
489,3/11/21,11,18884
489,3/11/21,12,17381
489,3/11/21,13,24494
489,3/11/21,14,37613
489,3/11/21,15,33972
489,3/11/21,16,29104
489,3/11/21,17,36816
489,3/11/21,18,8771
489,3/11/21,19,6769
489,3/11/21,20,4831
489,3/11/21,21,877
489,3/12/21,0,0
489,3/12/21,4,21
489,3/12/21,6,6277
489,3/12/21,7,6020
489,3/12/21,8,24102
489,3/12/21,9,22989
489,3/12/21,10,24780
489,3/12/21,11,64336
489,3/12/21,12,31665
489,3/12/21,13,35112
489,3/12/21,14,19712
